01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
01_v89_gq3008s_89t,01_v89_gq3008s_89t alps mt6589,Alps 01_v89_gq3008s_89t
06v20_v89_lyn7889_asx_116_xstp,HP-H868 06v20_v89_lyn7889_asx_116_xstp mt6589 haipainoble,Haipainoble HP-H868
0pa,Sony 0pa 0papi 0x8v14dw 7KUX9,Sony 7KUX9
1010a20,1010a20 mt6580 Ixion DEXP lineage_P350 Lenovo vibe a plus,DEXP Lenovo vibe a plus
1080P-N003,1080P 1080P-N003 mt6589,1080P-N003
1201,OPPO 1201 mt6582,OPPO 1201
1601,1601 mt6755 vivo 1713 vivo,Vivo 1713
1603,qcom vivo 1603 vivo 1603,Vivo 1603
1606,qcom vivo 1606 vivo 1606,Vivo 1606
1610,vivo 1610 1610 qcom vivo,Vivo 1610
1716,qcom vivo 1716 vivo 1716,Vivo 1716
1718,qcom vivo 1718 1718 vivo,Vivo 1718
1719,qcom 1719 vivo vivo 1719,Vivo 1719
200a,HP SlateBook 14 PC Hewlett-Packard bowser 200a hp,Hewlett-Packard HP SlateBook 14 PC
2e8,Acer 63LAB 2e8r7 2e8 s1p7eh1t,Acer 63LAB
3007,Coolpad Dazen 1 3007 qcom,Coolpad Dazen 1
30q,Sony 30qps 30q XBX6T girbqsu7,Sony XBX6T
3GDi10,3GDi10 redhookbay intel,Intel 3GDi10
4033X,Alcatel lineage_4033X Alcatel 4033X mt6572 4033X,Alcatel 4033X
408e,408e iris MT6517 iris 408e,Iris 408e
40S404,benesse freescale 40S404 PANASONIC,PANASONIC 40S404
4C_Pro,Honor 4C_Pro mt6735 lineage_4C_Pro,Honor 4C_Pro
4Good KIDS S45,NavRoad 4Good KIDS S45 mt6572 MT6572,NavRoad 4Good KIDS S45
4Good S555m 4G,mt6735 55MQ2 4Good S555m 4G,55MQ2 4Good S555m 4G
4o1,4o10e Oppo 4o1 8vc580mw 4ZQNK,Oppo 4ZQNK
4wi,MWOF5 HTC 4wi 4wijl 4s4uuarw,HTC MWOF5
5010G,mt6580 Alcatel ALCATEL 5010G,Alcatel 5010G
5038D,Alcatel 5038D lineage_5038D mt6582,Alcatel 5038D
503KC,503KC qcom KYOCERA,KYOCERA 503KC
5503,cm_5503 Prestigio 5503 mt6582,Prestigio 5503
56iqDS,56iqDS sun8i QUAD-CORE A33 y3 softwinner astar_y3 Allwinner,Softwinner QUAD-CORE A33 y3
5M,mt6580 YEZZ 5M,YEZZ 5M
601SO,Sony qcom 601SO,Sony 601SO
6pf,Gionee 6pf4b S8OY6 6pf jaq7sfbv,Gionee S8OY6
7 Plus,iPhone 7 Plus APPLE sc7731,IPhone 7 Plus
701KC,qcom KYOCERA NP701KC 701KC,KYOCERA NP701KC
7040E,Alcatel lineage_7040E mt6582 7040E OneTouch Pop C7,Alcatel OneTouch Pop C7
77X,77X mt6572,77X
7Ci,imapx15 Datawind.ubs.us 7Ci Datawind,Datawind 7Ci
801ES,Coolpad qcom 801ES,Coolpad 801ES
8122,Coolpad 8122 Nvidia Tegra 4,Coolpad 8122
820s,S625 Htc desire 820s HTC Desire 820s dual sim HTC 820s mt6752,HTC S625
8312D,8312D mt8312d,8312D
8675,Coolpad 8675 alps mt6592 8675 YuLong,YuLong Coolpad 8675
8676_IO2,coolpad note 3 mt6735 8676_IO2 mediatek coolpad,Mediatek coolpad note 3
875,alps MN4A2ZP/A 875 mt6582,Alps MN4A2ZP/A
8M,mt8163 8M roco,Roco 8M
93G,mt8382 alps 93G,Alps 93G
9920,alps 9920 mt6577 jwton77_ics2,Alps 9920
A0001,bacon OnePlus A0001 oneplus,OnePlus A0001
A01B_S10A,A01B_S10A qcom M4 M4 SS4445,M4 SS4445
A02,A02 IF9031 mt6735 InFocus IF9031_IN,InFocus IF9031
A1,A1 mt6580,A1
A10-70F,Lenovo LenovoTAB2A10-70F mt6752 Lenovo TAB 2 A10-70F A10-70F,Lenovo TAB 2 A10-70F
A10-70L,Lenovo Lenovo TAB 2 A10-70L LenovoTAB2A10-70L mt6752 A10-70L,Lenovo TAB 2 A10-70L
a10,null a10 Garmin-Asus A10 garmin-asus,Garmin-Asus A10
a100,acer thrive a100 vangogh,Acer thrive
A1000,Lenovo LENOVO Lenovo A1000 sc8830 A1000,Lenovo A1000
A1000F,Lenovo LENOVO A1000F IdeaTabA1000-F mt6577 IdeaTab_A1000-F,LENOVO IdeaTabA1000-F
A1000LF,Lenovo LENOVO A1000LF mt6577 IdeaTabA1000L-F IdeaTab_A1000L-F,LENOVO IdeaTabA1000L-F
A101,ARCHOS 101G9 archosa101sboard Archos G9A101 A101 Android,ARCHOS 101G9
A1010a20,A1010a20 Lenovo LENOVO mt6580 Lenovo A1010a20,Lenovo A1010a20
A101IT,archos A101IT Archos 101 Internet Tablet,Archos 101 Internet Tablet
A101XS,archos G10A101XS ARCHOS 101G10 A101XS,ARCHOS 101G10
A102,Micromax lineage_A102 Micromax A102 A102 mt6572,Micromax A102
A104,Micromax A104 mt6582 Micromax A104,Micromax A104
A1040,VERO sun6i A1040,VERO A1040
A106,Micromax A106 Micromax A106 mt6582,Micromax A106
A107,Micromax A107 mt6582 Micromax A107,Micromax A107
a110,Acer A110 acer a110 a110_pa_cus1,Acer A110
A1107,Lenovo LENOVO A1107 IdeaTab_A1107 omap3630sdpboard,LENOVO IdeaTab_A1107
A116 _Quad,Micromax MMX A116 mt6589 A116 _Quad,Micromax A116
a11ul,cm_a11 qcom a11ul HTC HTC Desire 510,HTC Desire 510
A120,A120 Micromax Micromax A120 mt6582,Micromax A120
A1601,mt6755 OPPO A1601,OPPO A1601
A16C3H,qcom A16C3H Andromax A16C3H Smartfren cm_A16C3H,Smartfren Andromax A16C3H
a16t30,Z66X_Z2 zxic ZXIC a16t30 aosp_a16t30 Android,ZXIC Z66X_Z2
A18PLUS_CR,A18PLUS_CR qcom ODYSSEY_Plus SANGHA Crosscall,SANGHA ODYSSEY_Plus
A190,mt6591 Micromax A190 Micromax A190,Micromax A190
A1_LTE,mt6735 A1_LTE XTOUCH,XTOUCH A1_LTE
A200,Micromax Micromax A200 mt6582 A200,Micromax A200
A2010-a,A2010-a Lenovo LENOVO Lenovo A2010-a mt6735,Lenovo A2010-a
A2010-l,Lenovo LENOVO Lenovo A2010-l mt6735 A2010-l,Lenovo A2010-l
A2010,LENOVO Lenovo A2010-a A2010 mt6735 cm_A2010,Lenovo A2010-a
A2010l36,Lenovo A2010l36 Lenovo LENOVO mt6735 A2010l36,Lenovo A2010l36
A2016a40,A2016a40 Lenovo LENOVO Lenovo A2016a40 mt6735,Lenovo A2016a40
A2016b30,Lenovo LENOVO A2016b30 mt6735 Lenovo A2016b30,Lenovo A2016b30
A2020,Lenovo qcom A2020 Vibe C,Lenovo A2020
A2020a40,Lenovo Lenovo A2020a40 LENOVO A2020a40 qcom unknown,LENOVO unknown
a210,Acer aosp_a210 a210 picasso_e2 A210,Acer A210
A2107A-H,Lenovo LENOVO mt6575 A2107A-H,LENOVO A2107A-H
A230Q,Advance 5.2 mt6580 A230Q BLU Advance_5_2,BLU Advance 5.2
A238t,Lenovo LENOVO A238t Lenovo A238t sc8830,Lenovo A238t
A24,Micromax A24 Micromax A24 sp6820a,Micromax A24
A269i,Lenovo LENOVO mt6572 A269i Lenovo A269i,Lenovo A269i
A270i,A270i DEXP sun8i Ursus Ursus A270i,DEXP Ursus A270i
a2_324_ax_tianmao_p6a_gigo,alps a2_324_ax_tianmao_p6a_gigo P6 mt6572,Alps P6
a2_3g_data,Lenovo LENOVO IdeaTab A2107A-H mt6575 a2_3g_data,LENOVO IdeaTab A2107A-H
a3,Desire 610 cm_a3 a3 qcom HTC htc,HTC Desire 610
A300t,Lenovo LENOVO Lenovo A300t A300t sp8810,Lenovo A300t
A303,AUX A303 mt6572,AUX
A308t,Lenovo A308t LENOVO Lenovo A308t mt6572,Lenovo A308t
A310,Micromax mt6592 Micromax A310 A310,Micromax A310
A311,Micromax mt6592 lineage_A311 A311,Micromax A311
A315,Micromax mt6592 A315 Micromax A315,Micromax A315
A316i,Lenovo LENOVO Lenovo A316i A316i mt6572,Lenovo A316i
A319,Lenovo LENOVO Lenovo A319 A319 mt6572,Lenovo A319
A320t,Lenovo Lenovo A320t mt6582 A320t,Lenovo A320t
A328,Lenovo A328 mt6582 cm_A328,Lenovo A328
A33,A33 qcom OPPO A33f,OPPO A33f
a33g,samsung SM-A300H qcom a33g a33gxx,Samsung SM-A300H
A33w,OPPO A33w mt6582,OPPO A33w
A34,A34 Micromax Micromax A34 pz238,Micromax A34
a3466,SL-SA5 solone a3466 mt6582,SL-SA5
A350,Micromax A350 mt6592 Micromax A350,Micromax A350
A3500F,Lenovo A3500-F A3500F LENOVO mt8121 Lenovo A3500-F,Lenovo A3500-F
A3500FL,Lenovo A3500-FL Lenovo LENOVO mt8121 A3500FL A3500-FL,Lenovo A3500-FL
A3500H,Lenovo A3500-H Lenovo mt8382 LENOVO A3500-H A3500H,Lenovo A3500-H
A3500HV,Lenovo mt8382 LENOVO Lenovo A3500-HV A3500HV A3500-HV,Lenovo A3500-HV
A354C,Spreadtrum Celkon A354C scx15_sp6815ga_7271plus_UUI scx15,Celkon scx15_sp6815ga_7271plus_UUI
A3600-d,A3600-d Lenovo Lenovo A3600-d LENOVO mt6582,Lenovo A3600-d
A369i,Lenovo A369i Lenovo LENOVO mt6572 A369i,Lenovo A369i
A37B,Micromax A37B Micromax A37B mt6572,Micromax A37B
A37f,qcom OPPO A37fw A37f,OPPO A37fw
A3800-d,Lenovo LENOVO A3800-d Lenovo A3800-d mt6582,Lenovo A3800-d
A390t,Lenovo LENOVO A390t Lenovo A390t sc8825,Lenovo A390t
A396,Lenovo A396 LENOVO sc8830 Lenovo A396,Lenovo A396
A398t,Lenovo Lenovo A398t LENOVO sc8825 A398t,Lenovo A398t
a3lte,a3ltexx samsung a3lte qcom SM-A300F,Samsung SM-A300F
a3ltezh,samsung a3ltezh qcom SM-A3000,Samsung SM-A3000
a3ulte,a3ltexx a3ulte samsung qcom SM-A300FU,Samsung SM-A300FU
a3xelte,a3xelte samsung samsungexynos7580 SM-A310F a3xeltexx,Samsung SM-A310F
a3y17lte,samsung a3y17ltexc a3y17lte SM-A320FL samsungexynos7870,Samsung SM-A320FL
A450,A450 mt6580 alps Jinga,Alps A450
a50,null Garmin-Asus A50 a50 garmin-asus,Garmin-Asus A50
a500,Acer nvidiategra20fdt acer a500 A500 picasso,Acer A500
A5000,A5000 Lenovo LENOVO Lenovo A5000 mt6582,Lenovo A5000
a501,Acer nvidiategra20fdt acer a501 A501 picasso,Acer A501
A502_Aurum,mt6580 Ergo A502_Aurum,Ergo A502_Aurum
a50he,archos qcom a50he qca50he Archos 50 Helium 4G,Archos 50 Helium 4G
A51,Lava Lava A51 sp7731c_1h10_32v4 A51,Lava A51
A516_ROW,Lenovo LENOVO Lenovo A516 a516_row A516_ROW mt6572,Lenovo A516
A526,Lenovo Lenovo A526 A526 mt6582,Lenovo A526
A536,Lenovo lineage_A536 A536 mt6582 lenovo,Lenovo A536
a53g,a53gxx samsung a53g qcom SM-A500H,Samsung SM-A500H
A5500-F,Lenovo mt8121 Lenovo A5500-F A5500-F,Lenovo A5500-F
A5500-H,Lenovo mt8382 Lenovo A5500-H A5500-H,Lenovo A5500-H
A5500-HV,Lenovo A5500-HV mt6582 Mediatek,Mediatek A5500-HV
A560_msm8212,A560 Lenovo LENOVO A560_msm8212 qcom Lenovo A560,Lenovo A560
a5chl,a5chl 710C qcom HTC cm_a5,HTC 710C
a5lte,samsung qcom a5lte SM-A500M,Samsung SM-A500M
a5ltechn,SM-A5000 samsung qcom a5ltezc a5ltechn,Samsung SM-A5000
a5ulte,samsung qcom a5ultexx SM-A500FU a5ulte,Samsung SM-A500FU
a5ultebmc,samsung qcom SM-A500W a5ultebmc,Samsung SM-A500W
a5ulteskt,samsung a5ulteskt SM-A500S qcom,Samsung SM-A500S
a5xelte,samsung samsungexynos7580 a5xeltexx SM-A510F a5xelte,Samsung SM-A510F
a5xeltecmcc,a5xeltecmcc samsung samsungexynos7580 a5xeltezm SM-A5108,Samsung SM-A5108
a5xeltextc,samsung samsungexynos7580 a5xeltextc SM-A510Y,Samsung SM-A510Y
a5xeltexx,samsung lineage_a5xeltexx samsungexynos7580 a5xeltexx SM-A510F,Samsung SM-A510F
a5y17lte,a5y17lte samsungexynos7880 samsung a5y17ltexx SM-A520F,Samsung SM-A520F
a5y17ltecan,samsungexynos7880 samsung SM-A520W a5y17ltecan a5y17ltecanxx,Samsung SM-A520W
a6000,Lenovo Kraft-A6000 qcom Lenovo A6000 a6000,Lenovo A6000
A6010,Lenovo LENOVO Lenovo A6010 qcom A6010,Lenovo A6010
A6020a40,Lenovo qcom A6020a40 Vibe K5,Lenovo Vibe K5
A6020a41,Lenovo qcom A6020a41 Vibe K5,Lenovo Vibe K5
A6020a46,Lenovo qcom A6020a46 Vibe K5 Plus,Lenovo Vibe K5 Plus
A6020l36,Lenovo qcom A6020l36 Vibe K5 Plus,Lenovo Vibe K5 Plus
A6020l37,Lenovo Lenovo A6020l37 LENOVO qcom A6020l37,Lenovo A6020l37
A606,Lenovo A606 Lenovo A606 mt6582,Lenovo A606
A610-5,cm_A610-5 A610-5 mt6735 ZTE A610-5 ZTE,ZTE A610-5
A610,ZTE BLADE A610 mt6735 ZTE lineage_a610 A610,ZTE BLADE A610
A6600a40,Lenovo LENOVO A6600a40 mt6735 Lenovo A6600a40,Lenovo A6600a40
A6600d40,Lenovo A6600d40 LENOVO mt6735 Lenovo A6600d40,Lenovo A6600d40
A68,A68 Lava sp7731c_1h10,Lava A68
A680,Lenovo A680_ROW Lenovo LENOVO A680 Lenovo_A680_ROW mt6582,Lenovo A680_ROW
A6CL,GFIVE President G10 Fashion A6CL alps mt6582 GFIVEYDL,GFIVEYDL GFIVE President G10 Fashion
A7-30DC,A7-30DC lc__A7-30DC mt6582 lENOVO,LENOVO A7-30DC
A7-30F,Lenovo LENOVO A7-30F Lenovo TAB 2 A7-30F mt8127 LenovoTAB2A7-30F,Lenovo TAB 2 A7-30F
A7-30GC,Lenovo A7-30GC mt8382 LENOVO LenovoTAB2A7-30GC Lenovo TAB 2 A7-30GC,Lenovo TAB 2 A7-30GC
A7-30HC,Lenovo mt8382 LENOVO Lenovo2A7-30HC Lenovo TAB 2 A7-30HC A7-30HC,Lenovo TAB 2 A7-30HC
A7,mt6580 A7 Blackview,Blackview A7
A7000-a,aio_row Lenovo LENOVO A7000-a mt6752 Lenovo A7000-a,Lenovo A7000-a
A7000plus,Lenovo LENOVO aio_ap A7000plus mt6752 Lenovo A7000-a,Lenovo A7000-a
a7010,Pixel 2 XL Google mt6735 a7010 cm_a7010,Google Pixel 2 XL
A7010a48,Lenovo Lenovo A7010a48 mt6735 A7010a48 lineage_A7010a48,Lenovo A7010a48
A7020a40,Lenovo LENOVO mt6755 A7020a40 Lenovo A7020a40 k52_a40,Lenovo A7020a40
A7020a48,Lenovo Lenovo A7020a48 LENOVO mt6755 k52_a48 A7020a48,Lenovo A7020a48
A70BTI,archos RK30A70BTI A70BTI rk30board ARCHOS 70b TITANIUM,ARCHOS 70b TITANIUM
A70GP,ARCHOS GAMEPAD RK3070GP archos rk30board Archos A70GP,ARCHOS GAMEPAD
A70GP2,archos RK3170GP2 ARCHOS GAMEPAD2 rk30board A70GP2 Archos,ARCHOS GAMEPAD2
A70S,archos A70S Archos 70 Internet Tablet,Archos 70 Internet Tablet
A72,Lava sc9830 A72,Lava A72
A73,Lava sp7731c_1h10 A73,Lava A73
A7600-F,Lenovo A7600-F AIM_A7600-F mt6582 Lenovo A7600-F,Lenovo A7600-F
A7600-H,Lenovo mt8382 A7600-H Lenovo A7600-H,Lenovo A7600-H
A789,Lenovo LENOVO Lenovo A789 A789 mt6577,Lenovo A789
A79,A79 Micromax Micromax A79 lineage_A79 mt6572,Micromax A79
a7alte,samsung SM-A700F a7altexx universal5430 a7alte,Samsung SM-A700F
a7lte,samsung qcom a7lte a7ltexx SM-A700FD,Samsung SM-A700FD
a7ltechn,samsung a7ltechn qcom SM-A7000 a7ltezc,Samsung SM-A7000
A7Pro,mt6735 A7Pro Blackview,Blackview A7Pro
a7xelte,samsung samsungexynos7580 a7xeltexx SM-A710F a7xelte,Samsung SM-A710F
a7xeltextc,samsung samsungexynos7580 SM-A710F a7xeltezt a7xeltextc,Samsung SM-A710F
a7y17lte,samsungexynos7880 samsung a7y17lte SM-A720F a7y17ltexx,Samsung SM-A720F
A8-50LC,Lenovo LENOVO mt6735 LenovoTAB2A8-50 Lenovo TAB 2 A8-50LC A8-50LC,Lenovo TAB 2 A8-50LC
A800,Lenovo Lenovo A800 A800 mt6577,Lenovo A800
A806,Lenovo LENOVO A806 mt6592 Lenovo A806,Lenovo A806
A820,Lenovo Lenovo A820 LENOVO A820 mt6589,Lenovo A820
a82i_2_coho,a82i_2 vero a82i_2_coho coho Intel oktabit,Intel a82i_2
A850,Lenovo LENOVO burgan2110 Lenovo A850 A850 mt6582,Lenovo A850
A850p,A850p Lenovo LENOVO mt6592 A850+ anchi,LENOVO anchi
A850_ROW,aupres_row Lenovo LENOVO A850_ROW Lenovo A850 mt6582,Lenovo A850
A859_ROW,Lenovo LENOVO Lenovo A859 anco_row mt6582 A859_ROW,Lenovo A859
A88,A88 Lava sc9830,Lava A88
A89,A89 Micromax micromax mt6577,Micromax A89
a8elte,samsung SM-A800F a8elte universal5430 a8eltejv,Samsung SM-A800F
a8hplte,samsung SM-A800I a8hplte universal5433 a8hpltedx,Samsung SM-A800I
a8ltechn,a8ltezh samsung qcom SM-A8000 a8ltechn,Samsung SM-A8000
a8xelte,samsung SM-A810F a8xeltejt a8xelte samsungexynos7420,Samsung SM-A810F
A9 Pro,mt6580 A9 Pro,A9 Pro
A916,Lenovo A916 mt6592,Lenovo A916
A936,Lenovo A936 mt6752,Lenovo A936
A94,Micromax java Micromax A94 A94,Micromax A94
A95X_R1,amlogic Amlogic A95X-R1 A95X_R1,Amlogic A95X-R1
A95X_R1_SSV6051P,A95X_R1_SSV6051P rk30board rockchip A95X_R1 Android,Rockchip A95X_R1
A95X_R2,amlogic XB-III Amlogic A95X_R2,Amlogic XB-III
A96,mt6580 A96,A96
A97,Lava A97 IPS sc8830 A97,Lava A97 IPS
A97TIHD,archos rk30board A97TIHD ARCHOS 97 TITANIUMHD RK30A97TIHD,ARCHOS 97 TITANIUMHD
A99,A99 Micromax Micromax A99 mt6582,Micromax A99
a9xltechn,samsung qcom a9xltechn a9xltezh SM-A9000,Samsung SM-A9000
a9xproltechn,samsung qcom a9xproltechn a9xproltezc SM-A9100,Samsung SM-A9100
a9xproltesea,samsung qcom SM-A910F a9xproltedx a9xproltesea,Samsung SM-A910F
A9_Lite,mt6580 ALLVIEW A9_Lite,ALLVIEW A9_Lite
AB290HW,AB290HW/AB493HW AB290HW sun4i 3Q,3Q AB290HW/AB493HW
AB494HW,AB494HW sun4i AB494HW/AB495HW 3Q,3Q AB494HW/AB495HW
abby,qcom abby ZTE Z959,ZTE Z959
ABROAD,ABROAD mt6572,ABROAD
ac101bxs2,archos RK31AC101BXS2 ARCHOS 101b XS2 rk30board ac101bxs2,ARCHOS 101b XS2
ac101ccv,archos ac101ccv mt6580 MTKAC101CCV Archos 101c Copper,Archos 101c Copper
ac101cplv3,mt8163 ALBA 10 TABLET alba ac101cplv3 Archos MTKAC101CPLV3_ALBA,Archos ALBA 10 TABLET
ac101dne,Archos 101d Neon archos MTKAC101DNE_16GB mt8127 Archos ac101dne,Archos 101d Neon
ac40po,archos Archos 40 Power sc8830 Archos SCAC40PO ac40po,Archos 40 Power
ac45dpl,archos Archos 45b Neon sc8830 SCAC45BNE ac45dpl,Archos 45b Neon
ac50cpl,archos sc8830 SCAC50CPL_BUSH Archos ac50cpl Bush Spira B2 5 Smartphone,Archos Bush Spira B2 5 Smartphone
ac50dis,archos MTKAC50DIS Archos Diamond S mt6735 Archos ac50dis,Archos Diamond S
ac50dne,ac50dne archos SCAC50DNE sc8830 Archos 50d Neon Archos,Archos 50d Neon
ac50fhe,archos QCAC50FHE_BUSH qcom BUSH SPIRA B4 5 ac50fhe Archos,Archos BUSH SPIRA B4 5
ac50fne,archos MTAC50FNE_ALBA mt6580 ALBA 5 Archos ac50fne,Archos ALBA 5
ac50fnev2,archos mt6580 Archos 50f Neon MTKAC50FNEV2 Archos ac50fnev2,Archos 50f Neon
AC50PL4G,Archos 50 Platinum 4G AC50PL4G mt6735 MTKAC50PL4G Archos,Archos 50 Platinum 4G
ac50sedc,MTKAC50SEDC_ARCHOS archos mt6735 Archos Archos Sense 50 DC ac50sedc,Archos Sense 50 DC
ac55cop,Archos 55 Cobalt Plus archos ac55cop mt6735 Archos MTKAC55COP,Archos 55 Cobalt Plus
ac55di2plus,archos MTKAC55DI2PLUS mt6755 Archos Archos 55 Diamond 2 Plus ac55di2plus,Archos 55 Diamond 2 Plus
ac55diplus,archos ac55diplus mt6735 Archos MTKAC55DIPLUS Archos Diamond Plus,Archos Diamond Plus
ac55heplus,MTKAC55HEPLUS ac55heplus mt6735 Archos Archos 55 Helium Plus,Archos 55 Helium Plus
ac70plv4,mt8163 archos Alba 7" ac70plv4 MTKAC70PLV4_ALBA,Archos Alba 7"
ac70plv5,mt8163 archos ALBA 7 TABLET ac70plv5 Archos MTKAC70PLV5,Archos ALBA 7 TABLET
ac80bhev2,archos mt6735 Archos 80b Helium v2 MTKAC80BHEV2 ac80bhev2,Archos 80b Helium v2
ac8317,ATC ac8317 generic_ac8317 AC8227 autochipsac83xx Android,ATC AC8227
ACCELLORIZE,ACCELLORIZE VIG4001 mt6572,ACCELLORIZE VIG4001
acclaim,lineage_acclaim Barnes & Noble Nook Tablet acclaim Barnes & Noble Android,Barnes & Noble Nook Tablet
ace,htc_ace ace HTC htc_wwe HTC Desire HD A9191 spade,HTC Desire HD A9191
Acer,Acer Liquid z205 Liquid Z205 mt6572,Acer Liquid Z205
acer_a1_724,Acer acer_a1_724 acer qcom a1_724_ww_gen1 A1-724,Acer A1-724
acer_apriliahd,Acer acer_apriliahd mt8382 acer a1_713hd_ww_gen1 A1-713HD,Acer A1-713HD
acer_asgard,Acer acer_asgard B3-A40 acer B3-A40_ww_gen1 mt8167,Acer B3-A40
acer_asgardfhd,Acer acer_asgardfhd acer B3-A40FHD B3-A40fhd_ww_gen1 mt8167,Acer B3-A40FHD
acer_barricade,Acer acer acer_barricade mt6735 A1-734 a1-734_ww_gen1,Acer A1-734
acer_barricadewifi,Acer mt8163 acer b1-790_ww_gen1 B1-790 acer_barricadewifi,Acer B1-790
acer_e3,Acer acer E380 e3_emea_gen1 mt6589 acer_e3,Acer E380
acer_FrenzyRefresh,Acer B1-860A mt8163 acer_FrenzyRefresh acer B1-860A_ww_gen1,Acer B1-860A
acer_harleyfhd,Acer acer acer_harleyfhd a3_a20fhd_ww_gen1 mt8127 A3-A20FHD,Acer A3-A20FHD
acer_jetfirefhd,Acer acer_jetfirefhd mt8163 acer a3-a40_ww_gen1 A3-A40,Acer A3-A40
acer_jetfirehd,Acer mt8163 B3-A30 acer acer_jetfirehd b3-a30_ww_gen1,Acer B3-A30
acer_T02,Acer acer_T02 acer mt6735 T02 T02_ww,Acer T02
acer_t03,Acer acer_t03 T03_emea_gen2 acer T03 mt6735,Acer T03
acer_t04,Acer acer mt6735 T04 T04_emea_gen2 acer_t04,Acer T04
acer_t06,Acer acer mt6580 t06_ww T06 acer_t06,Acer T06
acer_t08,Acer t08_ww acer mt6735 acer_t08 T08,Acer T08
acer_t10,Acer T10 acer mt6580 acer_t10 t10_emea,Acer T10
acer_t11,ACER acer acer_t11 T11 mt6735 t11_emea,ACER T11
acer_z410,Acer Z410 acer z410_pa_ca mt6752 acer_z410,Acer Z410
acer_z520,Acer Z520 acer acer_z520 z520_emea_gen1 mt6582,Acer Z520
acer_ZXL,Acer acer zxl_aap_ais acer_ZXL Z150 mt6572,Acer Z150
achill,qcom achill ZTE Z828 P890T09_MPCS,ZTE Z828
ACTIVE_L10A1G,ACTIVE_L10A1G L10A1G rk30board rockchip,Rockchip L10A1G
AD688G,qcom AD688G Smartfren Hisense Smartfren Andromax AD688G,Hisense Smartfren Andromax AD688G
addison,qcom Moto Z Play motorola addison XT1635-02,Motorola Moto Z Play
ADR8995,ADR8995 verizon qcom PANTECH,PANTECH ADR8995
advan8735m_9706c,advan8735m_9706c ADVAN advan mt6735 i7,ADVAN i7
Advance_4_0M,sp7731c_1h10_32v4_oversea Advance 4.0M Advance_4_0M sp7731c_1h10_32v4 BLU,BLU sp7731c_1h10_32v4_oversea
Advance_4_0_L3,Advance 4.0 L3 BLU Advance_4_0_L3 v2510,BLU Advance 4.0 L3
ADVAN_S4Z,ADVAN_S4Z ADVAN S4Z sp7731c_1h10_32v4,ADVAN S4Z
aegir,Energy Phone Max 4G mt6735 aegir Energy_Sistem,Energy_Sistem Energy Phone Max 4G
aegis2vzw,samsung SCH-I415 Verizon aegis2vzw,Samsung SCH-I415
aeon6580_weg_l,SKY 5.0W SKY DEVICES mt6580 aeon6580_weg_l MALATA,MALATA SKY 5.0W
aeon6580_we_l,mt6580 full_aeon6580_we_l IPRO WAVE 5.0 aeon6580_we_l,IPRO WAVE 5.0
aeon6735_65c_s_l1,full_aeon6735_65c_s_l1 Philips mt6735 Philips_V526 aeon6735_65c_s_l1,Philips_V526
aeon6753_65c_s_l1,Power Five Evo full_aeon6753_65c_s_l1 mt6735 aeon6753_65c_s_l1 HighScreen,HighScreen Power Five Evo
AERIAL,mt6580 alps STF mobile AERIAL,Alps AERIAL
afyonltecan,SM-G386W samsung qcom afyonltecan afyonltevl,Samsung SM-G386W
afyonlteMetroPCS,samsung qcom afyonlteMetroPCS SM-G386T1,Samsung SM-G386T1
afyonltetmo,samsung qcom SM-G386T afyonltetmo,Samsung SM-G386T
ahong89_wet_jb2,alps ahong89_wet_jb2 mt6589,Alps ahong89_wet_jb2
ailsa_ii,ailsa_ii qcom P996A04_O ZTE A2017G ZTE,ZTE P996A04_O
aiocu_wtfp,Lenovo LENOVO full_aiocu_wtfp aiocu_wtfp Lenovo A7600 H304,Lenovo A7600
aio_otfp,Lenovo K3Note cm_aio_otfp mt6752 Lemon aio_otfp,Lenovo K3Note
aio_otfp_m,Lenovo aio_otfp_m LENOVO mt6752 Lenovo K50-t5,Lenovo K50-t5
aio_row,Lenovo aio_row mt6752 Lenovo A7000-a lineage_aio_row,Lenovo A7000-a
AIRIS_TM50QS,AIRIS AIRIS TM50QS sc8830 AIRIS_TM50QS sp7731geaplus_dt_oversea,AIRIS TM50QS
airplayep,Lenovo LENOVO qcom Lenovo A805e airplayep,Lenovo A805e
Airtel,Airtel sp9832a_2h11_fs269 unknown,Airtel unknown
Aku_A1,GIGABYTE Aku_A1 GSmart Aku A1 mt6589 GSmart,GIGABYTE GSmart Aku A1
albus,Moto Z2 Play qcom motorola albus,Motorola Moto Z2 Play
Alcatel,Alcatel TCT 4032A CyanogenMod mt6572,CyanogenMod 4032A
Alcatel_Flash_Plus,Alcatel Alcatel Flash Plus mt6752 Alcatel_Flash_Plus,Alcatel Flash Plus
alchemy,Coolpad REVVLPLUS C3701A qcom Yulong alchemy,Yulong REVVLPLUS C3701A
ali,moto g(6) qcom motorola ali,Motorola moto g(6)
alice,hi6210sft alice dot_alice Huawei HUAWEI ALE-L21,HUAWEI ALE-L21
alicee,LG-H840 alicee_global_com LGE lge alicee,LGE LG-H840
alien_jolla_bionic,alien_jolla_bionic Jolla unknown,Unknown Jolla
alien_jolla_tablet,Jolla alien_jolla_tablet unknown,Unknown Jolla
ali_n,moto g(6) ali_n qcom motorola,Motorola moto g(6)
