01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
ferrari,Xiaomi qcom lineage_ferrari MI 4i ferrari,Xiaomi MI 4i
fever,mt6735 full_fever fever Fever Wiko,Wiko Fever
FG6Q,Gigaset QV1030 Gigaset Quanta QV1030 macallan FG6Q,Quanta Gigaset QV1030
fiber-cmx785q6V2,fiber_cmx785q6V2 sun6i fiber-cmx785q6V2 Clanga 079-1016 unknown CMX,Unknown Clanga 079-1016
fiber-colorfly,sun6i fiber_colorfly fiber-colorfly Colorfly E708 Q1 unknown Colorfly,Unknown Colorfly E708 Q1
fiber-ibts-8723bs,ZUR907 iNet sun6i fiber-ibts-8723bs fiber_ibts_8723bs unknown,Unknown ZUR907
fiber-ibts-ap6210,Q1001L4B2 fiber-ibts-ap6210 iNet sun6i fiber_ibts_ap6210 unknown,Unknown Q1001L4B2
fiber-inets,iNet sun6i fiber_inets E-Board MX014 fiber-inets unknown,Unknown E-Board MX014
fiber-sd1002,sun6i fiber-sd1002 NT NT50242-16 fiber_sd1002 unknown,Unknown NT50242-16
fiber-wifibt_mtk,sun6i fiber-wifibt_mtk softwinner fiber_wifibt_mtk NOGAPAD-3Q Allwinner-Tablet,Softwinner NOGAPAD-3Q
financier,financier qcom Z956 ZTE,ZTE Z956
FIND7,FIND7 lineage_find7 qcom OPPO Find7,OPPO Find7
FIRE,alps FIRE mt6582,Alps FIRE
FlareA1,Cherry_Mobile FlareA1 mt6735,Cherry_Mobile FlareA1
Flare_J1_mini,Cherry Flare_J1_mini sc7731c,Cherry Flare_J1_mini
Flare_S5,mt6735 Cherry Mobile Flare S5 Flare_S5,Cherry Mobile Flare S5
flo,Nexus 7 flo razor google asus,Asus Nexus 7
flounder,HTC flounder Nexus 9 google,HTC Nexus 9
flounder_lte,flounder_lte HTC flounder Nexus 9 google,HTC Nexus 9
Fly FS505,Fly mt6580 Fly FS505 FS505,Fly FS505
Fly,Fly IQ440 mt6577,Fly IQ440
Flylife Connect 7 3G 2,Fly alps Flylife Connect 7 3G 2 mt8312,Alps Flylife Connect 7 3G 2
Fly_IQ4404,Fly IQ4404 Fly IQ4404 Fly_IQ4404 mt6572,Fly IQ4404
ford,KFFOWI mt8127 aosp_ford google ford amzn,Amzn KFFOWI
forrestgump,forrestgump Xiaomi MiBOX_mini mt8685,Xiaomi MiBOX_mini
fortuna3g,samsung fortuna3g aosp_fortuna3g qcom SM-G530H,Samsung SM-G530H
fortunafz,samsung fortunafz aosp_fortunafz qcom SM-G530FZ,Samsung SM-G530FZ
fortunalte,fortunalteub samsung SM-G530M qcom fortunalte,Samsung SM-G530M
fortunave3g,samsung qcom fortunave3g SM-G530H lineage_fortunave3g,Samsung SM-G530H
ForwardEndurance,ForwardEndurance NGM mt6582,NGM ForwardEndurance
